ID,company_name,city,state,location,size,website,industry,description,revenue,founded,company_type,logo_url
3090,Bright Horizons,Newton,MA,"Newton, Massachusetts","10,001+ employees",http://www.brighthorizons.com/,Education Administration Programs,"More than 1,000 top employers trust Bright Horizons® (NYSE: BFAM) for proven solutions that support employees, advance careers, and maximize performance. From on-site child care that amplifies your culture, back-up care to handle disruptions, and education programs that build critical skills, our services help you achieve more. Find more at brighthorizons.com/at-work.",Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQGSNSTubTAGkw/company-logo_200_200/0/1657044483277?e=1677715200&v=beta&t=1PCqIH39bN-JQit7Li4C3gPTPItMNWvaBp2oQrpAXqo
3091,Bank of America,Charlotte,NC,"Charlotte, NC","10,001+ employees",https://www.bankofamerica.com/,Banking,"Bank of America is one of the world's largest financial institutions, serving individuals, small- and middle-market businesses and large corporations with a full range of banking, investing, asset management and other financial and risk management products and services. The company serves approximately 56 million U.S. consumer and small business relationships. It is among the world's leading wealth management companies and is a global leader in corporate and investment banking and trading.

This LinkedIn company page is moderated. For more information, please visit: https://bit.ly/32FDdQr.

For account issues, please visit: https://bit.ly/2GeTIeP.",Unknown,1930.0,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQF5xDekWLYkeQ/company-logo_200_200/0/1625145546912?e=1677715200&v=beta&t=Knlu-qZNYei90cLtQ7uERmEN6g0zAWvtlDJuuUfbuqA
3092,Bank of the West,San Francisco,CA,"San Francisco, CA","10,001+ employees",http://www.bankofthewest.com/,Banking,"At Bank of the West, your money has values as well as value. We know money deposited in a bank has the power to finance positive change. So we are taking action to support activities that help protect the planet, improve people’s lives, and strengthen communities. We are redefining banking for a better future by focusing on areas where we believe we can have a real impact: supporting energy transition, helping enable women entrepreneurs, and financing innovative start-ups. 

As the bank for a changing world, Bank of the West is committed to sustainable finance along with our parent company BNP Paribas. Through Digital Channels and offices across the U.S., Bank of the West provides financial tools and resources to more than 2 million individuals, families and businesses. 

© 2022 Bank of the West. Member FDIC. Equal Housing Lender. Doing business in South Dakota as Bank of the West California.

Before joining the conversation on LinkedIn, please review our community guidelines, terms & disclosures: http://gowe.st/guidelines

Privacy policy: http://bankofthewest.com/privacypolicy",Unknown,1874.0,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQE_EfCMqv20Iw/company-logo_200_200/0/1625595826701?e=1677715200&v=beta&t=EKoEEn0KXYf875ApQ8nYY7i5t6_SrHWewnq4J-9z8Sw
3093,Belden Inc.,St. Louis,MO,"St. Louis, Missouri","5,001-10,000 employees",https://www.belden.com/,"Appliances, Electrical, and Electronics Manufacturing","Belden Inc., a global leader in high quality, end-to-end signal transmission solutions, delivers a comprehensive product portfolio designed to meet the mission-critical network infrastructure needs of industrial, enterprise and broadcast markets. With innovative solutions targeted at reliable and secure transmission of rapidly growing amounts of data, audio and video needed for today’s applications, Belden is at the center of the global transformation to a connected world.",Unknown,1902.0,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQEHOjQS37LmPQ/company-logo_200_200/0/1617020886107?e=1677715200&v=beta&t=dp3-SN8sVlDTzxS5UGfWt5gCIoCmeMwWDTEV7Y7pAss
3094,Belcan,Cincinnati,OH,"Cincinnati, OH","5,001-10,000 employees",https://belcan.com/,IT Services and IT Consulting,"Belcan is a global supplier of engineering, manufacturing & supply chain, workforce and government IT solutions to customers in the aerospace, defense, commercial vehicles & automotive, industrial, and private sector. We engineer better outcomes for our customers – from jet engines, airframe, and avionics to heavy vehicles, automobiles, and cybersecurity. 

Taking a partnering approach to provide solutions that are adaptable, integrated, and value added, we have been earning the trust of our customers for over 60 years and counting.",Unknown,1958.0,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQEecC321XYJcQ/company-logo_200_200/0/1553113016787?e=1677715200&v=beta&t=sAV_SW4ZjAneJn9fWZ0Kzn88xIWov6EevsxGh8uR3Qs
3095,Belkin,El Segundo,CA,"El Segundo, CA","1,001-5,000 employees",http://www.belkin.com/,Computers and Electronics Manufacturing,"At Belkin, we believe that today can be extraordinary. Our products exist at the intersection of people and technology. Our human-centric designs empower individuals to get more out of their daily life. From our humble beginnings in Southern California  to a diverse, global country in more than 50 countries, our focus is harnessing technology and design to improve the lives of people around the world. 
 
Today, our team consists of more than 1,200 employees across 23 countries. While our main office stays true to our Southern California roots, you’ll find Belkin offices around the world. We’re proud to be a global village, connecting our employees in environments that champion inclusivity, diversity, innovation and connectivity. People are at the center of everything we do and you can be part of our mission to help others Be Ready For Today. ",Unknown,1983.0,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQEM9lPtpfL5ww/company-logo_200_200/0/1668015671474?e=1677715200&v=beta&t=3g5WnqOIu06c-4gXOIfZkw3RcWRL__TYhjEVuPAvAm8
3096,Benchmark,Tempe,AZ,"Tempe, Arizona","10,001+ employees",http://www.bench.com/,"Appliances, Electrical, and Electronics Manufacturing","Benchmark is a worldwide provider of innovative product design, engineering services, technology solutions and advanced manufacturing services. From initial product concept to volume production, including direct order fulfillment and aftermarket services, Benchmark has been providing integrated services and solutions to original equipment manufacturers since 1979. Today, Benchmark proudly serves the following industries: aerospace, defense, medical technologies, complex industrials, semiconductor capital equipment, next-generation telecommunications, and high-performance computing. Benchmark’s global operations network includes facilities in eight countries and common shares trade on the New York Stock Exchange under the symbol BHE.

The Benchmark team consists of ~11,000 employees in 22 worldwide locations and is headquartered in Tempe, Arizona.

For more information, please visit www.Bench.com.",Unknown,1995.0,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQGjUN4Pj9Qb2w/company-logo_200_200/0/1550871882769?e=1677715200&v=beta&t=8WhQxRWiEFzKh9cOuK_DU9xfDJKpUecp9C3e_tUmvas
3097,BeyondTrust,Johns Creek,GA,"Johns Creek, Georgia","1,001-5,000 employees",http://www.beyondtrust.com/,Software Development,"BeyondTrust is the worldwide leader in Privileged Access Management (PAM), empowering organizations to secure and manage their entire universe of privileges.  Our integrated products and platform offer the industry's most advanced PAM solution, enabling organizations to quickly shrink their attack surface across traditional, cloud and hybrid environments. 

The BeyondTrust Universal Privilege Management approach secures and protects privileges across passwords, endpoints, and access, giving organizations the visibility and control they need to reduce risk, achieve compliance, and boost operational performance.  We are trusted by 20,000 customers, including 78 of the Fortune 100, and a global partner network.",Unknown,1985.0,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQGpqcQD3UL4Lg/company-logo_200_200/0/1551783135560?e=1677715200&v=beta&t=Ni43DJjmqwh_THNKKeEQznnTpMkypGBNN6tYG5TTM_U
3098,Beyond Meat,El Segundo ,CA,"El Segundo , California","501-1,000 employees",http://www.beyondmeat.com/,Food and Beverage Services,What if we all #GoBeyond,Unknown,2009.0,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQENWcnMum-ryw/company-logo_200_200/0/1550699795471?e=1677715200&v=beta&t=NouIIZK3hn-xOPxgRX0602Q_DEF5YjsSPTFxrT7CyUw
3099,BigID,New York,NY,"New York, New York",201-500 employees,http://www.bigid.com/,Data Security Software Products,"BigID is a leader in data security, privacy, compliance, and governance: enabling organizations to proactively discover, manage, protect, and get more value from their data in a single platform for data visibility and control. 

Customers use BigID to reduce their data risk, automate security and privacy controls, achieve compliance, and understand their data across their entire data landscape: including multicloud, hybrid cloud, IaaS, PaaS, SaaS, and on-prem data sources",Unknown,2016.0,Unknown,https://media-exp1.licdn.com/dms/image/D4E0BAQG22jwECQNXsg/company-logo_200_200/0/1664366973044?e=1677715200&v=beta&t=sdoP4kujUYzdhHSvfhWn4ymOegfHAi_TDG-OkunTN8c
