ID,company_name,city,state,size,website,industry,revenue,founded,company_type,logo_url
1,KBI Biopharma,Durham,NC,"1,001-5,000 employees",http://www.kbibiopharma.com/,Biotechnology Research,Unknown,1996,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQF_mJOd2UXOXg/company-logo_200_200/0/1635209659306?e=1677715200&v=beta&t=epXDwRO5QY0lMh3B2pHYFD8HO-1Mns25cpoGTPWBU8o
2,DT Professional Services,Los Angeles,CA,11-50 employees,http://www.dtprosusa.com/,IT Services and IT Consulting,Unknown,2013,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQHjzvUcy-gpbg/company-logo_200_200/0/1519897338371?e=1677715200&v=beta&t=sE2V4wdDCpm4gNAk4m1Wwt6XFECr4mvsDXjJ9_R_iwk
3,Activision Blizzard Media,San Francisco,CA,51-200 employees,http://www.activisionblizzardmedia.com/,Advertising Services,Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQFB0BBQMa_JvA/company-logo_200_200/0/1542121150661?e=1677715200&v=beta&t=DfHiHepaKNmZ6612xddp4W06CztzUxPXN3Wu9UUlRA8
4,"Voloridge Investment Management, LLC",Jupiter,FL,51-200 employees,http://www.voloridge.com/,Financial Services,Unknown,2009,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQGacKC1P5optA/company-logo_200_200/0/1581713549177?e=1677715200&v=beta&t=WBEo0up6TdC4UL2cHl_UzGQHsSisPTGQLhNobvEG-_U
5,Santee Cooper,Moncks Corner,SC,"1,001-5,000 employees",http://www.santeecooper.com/,Utilities,Unknown,1934,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQHtgmCgF1Uqyg/company-logo_200_200/0/1519856580287?e=1677715200&v=beta&t=AhCxet4BsEIBi-wQQAVLlh1o5jUAAaV_0NnO1d4ZZog
6,BrainWorks,Unknown,Unknown,11-50 employees,http://www.brainworksinc.com/,Staffing and Recruiting,Unknown,1991,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQHZS8Pr6ss0JQ/company-logo_200_200/0/1587585622836?e=1677715200&v=beta&t=IUEUjwGz1CCR6HPqxhK-bDmoHMbEv3vUSIpHrfjmxLQ
7,AE Studio,Los Angeles,CA,51-200 employees,https://ae.studio/,Software Development,Unknown,2016,Unknown,https://media-exp1.licdn.com/dms/image/D4D0BAQG8JvAcbW9i4g/company-logo_200_200/0/1667589214627?e=1677715200&v=beta&t=9ijuKKO-EnzGX8MlFcKUOGrtTWrKurKV65oiY48ttu4
8,Chewy,Plantation,FL,"10,001+ employees",careers.chewy.com/,Retail,Unknown,2011,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQGLd0ulL8wFyw/company-logo_200_200/0/1629734264472?e=1677715200&v=beta&t=jsWwQ6ja79OjkwoHdUmgXBPty6a28dwDaCeVhmcfPvA
9,Heath Consultants Incorporated,Houston,TX,"1,001-5,000 employees",https://heathus.com/,Oil and Gas,Unknown,1933,Unknown,https://media-exp1.licdn.com/dms/image/D560BAQG1W9aPe4iN1w/company-logo_200_200/0/1665160930174?e=1677715200&v=beta&t=QJQL9rxEOdDX6_N7hzEIjYvS2-LE33tvPUXYMl17pck
10,Numerator,Chicago,IL,"1,001-5,000 employees",https://www.numerator.com/,Market Research,Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQGpsGVksPQoWQ/company-logo_200_200/0/1656701410990?e=1677715200&v=beta&t=BhFBtjIY913CsWSsztVHyOPKimG8cc11ZZ7RqbA0f2s
11,Core & Main,St. Louis,MO,"1,001-5,000 employees",https://coreandmain.com/,Wholesale,Unknown,2017,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQEaBi7p4hotPg/company-logo_200_200/0/1534347749161?e=1677715200&v=beta&t=vVqWlc85wawvukadpLxbt1px_-8lizK66bDN-eA7bkk
12,The Carlyle Group,Washington,DC,"1,001-5,000 employees",http://www.carlyle.com/,Investment Management,Unknown,1987,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQHqSQLqncBw9A/company-logo_200_200/0/1599166653113?e=1677715200&v=beta&t=b-NFwv08iVMjb_8Dr3JZgex-Dgoq0h-wRDBt3Yt3hlM
13,"Blue Cross and Blue Shield of Illinois, Montana, New Mexico, Oklahoma & Texas",Chicago,IL,"10,001+ employees",http://www.hcsc.com/careers/,Hospitals and Health Care,Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/D560BAQExeAN0NurHrA/company-logo_200_200/0/1667299065998?e=1677715200&v=beta&t=ib6ipvjCJVT6MFe1iP9oBWa1jXiIlLyNQREkiTarNbk
14,"New Iron, Inc.",Austin,TX,11-50 employees,http://www.newiron.com/,Human Resources Services,Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQGojMKH1hEX1A/company-logo_200_200/0/1614701756819?e=1677715200&v=beta&t=VEweUUHwKJAaMKrCaUVwmDmid2xvRT_Y4ow_rOrL3Fg
15,VitalMetrics,Goleta,CA,11-50 employees,http://www.vitalmetrics.com/,Environmental Services,Unknown,2005,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQG6OBsfU2mYCA/company-logo_200_200/0/1519871400915?e=1677715200&v=beta&t=mxoE8P04sBCIRS9vH3NWqEEYKYq4DQZJ_r3teOHxYm0
16,American Technology Consulting - ATC,Clive,IA,51-200 employees,http://www.american-technology.net/,IT Services and IT Consulting,Unknown,2007,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQHR71hWsUHv0g/company-logo_200_200/0/1575070098317?e=1677715200&v=beta&t=5wTKNRTw7qaRD5ysJOo9vOCZusavrkdpFeXHf-Vz3YU
17,Penn Information Systems & Computing,Philadelphia,PA,201-500 employees,https://www.isc.upenn.edu/,IT Services and IT Consulting,Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQEghcaCP4JZ1A/company-logo_200_200/0/1659021887134?e=1677715200&v=beta&t=d5HuXk2JLBg2qtHvsCUFvp79ELlQzTnIvOS7liR8ieE
18,A-MAX Auto Insurance,Dallas,TX,"501-1,000 employees",http://www.amaxinsurance.com/,Insurance,Unknown,2002,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQEO9PTT-RQMbg/company-logo_200_200/0/1660329327117?e=1677715200&v=beta&t=0OHmB0vTc58SNFAjlEFrw3Y7gs1OU_I8fO_njcUHamw
19,Curate Partners,Woburn,MA,11-50 employees,http://www.curatepartners.com/,IT Services and IT Consulting,Unknown,2014,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQFnSBW1ML-c2w/company-logo_200_200/0/1657637216391?e=1677715200&v=beta&t=yrGlTpnPcPQZQUP90EJzwE8tSKw53UPAX4bbaABnp4I
20,Yamaha Corporation of America,Buena Park,CA,"10,001+ employees",http://usa.yamaha.com/,Musicians,Unknown,1960,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQHVSYgXq4riLw/company-logo_200_200/0/1657305518010?e=1677715200&v=beta&t=XDzt1UfhRTqZUstf52ClyMkoDV86S8wanLbX91Ly5ow
21,McKesson,Irving,TX,"10,001+ employees",https://bit.ly/3xadvB0/,Hospitals and Health Care,Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQFjODrUWVHQoA/company-logo_200_200/0/1656680505685?e=1677715200&v=beta&t=8KYCw6t15nwbdFBr_mjMipMljgteVzG8k_iaSKkL6OE
22,Southern Glazer's Wine & Spirits,Miami,FL,"10,001+ employees",https://www.southernglazers.com/careers/,Beverage Manufacturing,Unknown,1968,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQEXhLJbMlHtrw/company-logo_200_200/0/1656680409862?e=1677715200&v=beta&t=Hoj50j5q7KZJM3XPX2WyQiDHREKgn3JDMuW300a52sc
23,STMicroelectronics,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
24,Grid Dynamics,San Ramon,CA,"1,001-5,000 employees",http://www.griddynamics.com/,IT Services and IT Consulting,Unknown,2006,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQE4Hxv01HgS6g/company-logo_200_200/0/1544223293122?e=1677715200&v=beta&t=fSpOZmhB4_7f5qP24Qtk2t8A-T0pSgkOvObRbA_DlHA
25,The Clorox Company,Oakland,CA,"5,001-10,000 employees",http://www.TheCloroxCompany.com/,Manufacturing,Unknown,1913,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQHUiXSbfdV2CA/company-logo_200_200/0/1657049554017?e=1677715200&v=beta&t=WziTFhMSe8Q3gpvwt0UkwijKCg2Rg4iXnVynam8__MA
26,Sharethrough,Montreal,Quebec,51-200 employees,http://www.sharethrough.com/,Internet Publishing,Unknown,2008,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQEZnckK1qA-aA/company-logo_200_200/0/1620654814552?e=1677715200&v=beta&t=rEsnL3-zufMa5YuiIaUKqq_q8LsgM7rj4QkfMCSXePA
27,The AES Corporation,Arlington,VA,"5,001-10,000 employees",http://www.aes.com/,Utilities,Unknown,1981,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQHrmddKtYfrxQ/company-logo_200_200/0/1603860261724?e=1677715200&v=beta&t=hMdgwtdZ2LA95Hi48XQs1WJM53AnYcaq6sJfllS675k
28,CCC Intelligent Solutions,Chicago,IL,"1,001-5,000 employees",https://cccis.com/about/,Software Development,Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQGcBHOPH5xitQ/company-logo_200_200/0/1608758083263?e=1677715200&v=beta&t=AGRxyp9TzJ6Npi7NEbByWhA0SA71ukUAPsG30nHC-L0
29,Palisades Group,Austin,TX,11-50 employees,http://www.palisades.us.com/,Investment Management,Unknown,2012,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQHs-VgiS640aw/company-logo_200_200/0/1519907133238?e=1677715200&v=beta&t=1503f1M7GG6aaqki5kWpGaqaKtS2381fWppqV_JaG2I
30,Welligence Energy Analytics,Houston,TX,11-50 employees,http://www.welligence.com/,Oil and Gas,Unknown,2016,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQGpycIjBgmJLQ/company-logo_200_200/0/1622060005442?e=1677715200&v=beta&t=IWZ8WyaAKyA2afHdtym3kHcAWXLdw2qUI8E-ghNBVew
31,red violet (NASDAQ: RDVT),Boca Raton,FL,51-200 employees,https://www.redviolet.com/,IT Services and IT Consulting,Unknown,2017,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQGnTj5hNN_xeQ/company-logo_200_200/0/1623342983720?e=1677715200&v=beta&t=djRpZhrqcdYVu7MVcjORPvWLIR0nWYcA20ziScVHx98
32,BlastPoint,Pittsburgh,PA,11-50 employees,http://www.blastpoint.com/,Software Development,Unknown,2016,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQHw89stLK6GWQ/company-logo_200_200/0/1550888750256?e=1677715200&v=beta&t=bS5ZgesAA_fVRWNZkllHxvxmV1oNTwF5VrtLxnhreXk
33,HAISTACK.AI,Los Angeles,CA,11-50 employees,Unknown,Data Infrastructure and Analytics,Unknown,2022,Unknown,https://media-exp1.licdn.com/dms/image/D560BAQFYb9oC8FNYDg/company-logo_200_200/0/1666646661553?e=1677715200&v=beta&t=iXk9BDTFlw8g0317tNzKEW8xb_6nwMKElv5VksXq09Q
34,Rocket Central,Detroit,MI,"1,001-5,000 employees",http://www.rocketcentral.com/,IT Services and IT Consulting,Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQGfBVpA07XB6Q/company-logo_200_200/0/1642794486645?e=1677715200&v=beta&t=AHzrbhNKxlQvaEH4Xq6ZDN-rscts-jMnhikdGcsX9iY
35,"Snow Fox Data, a Division of Excelion Partners",Neenah,WI,11-50 employees,https://www.snowfoxdata.com/,IT System Data Services,Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQEw_AyFZlk3DA/company-logo_200_200/0/1660852608524?e=1677715200&v=beta&t=LEJiJGtdEW5pDCgX_R6NHq1oSrL1et7RS_UuJ1tsqn8
36,Spectrum Enterprise,Stamford,CT,"10,001+ employees",http://enterprise.spectrum.com/,Telecommunications,Unknown,1993,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQFRGnFyStCNlw/company-logo_200_200/0/1519855928093?e=1677715200&v=beta&t=R2g6V5hAZK7ykIuhJGfF0OBk68Siano80pZd_WbWiFk
37,VINCI,Nanterre,Île-de-France,"10,001+ employees",http://www.vinci.com/,Construction,Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C510BAQEjV-vDtrOz4w/company-logo_200_200/0/1519855892185?e=1677715200&v=beta&t=i3qaTLk-au7-TqH9t7t-JdbutwE723syIJcYe9eFlIs
38,Xylem,Washington,DC,"10,001+ employees",http://www.xylem.com/,Industrial Machinery Manufacturing,Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C510BAQGj5Q4q8PX2JQ/company-logo_200_200/0/1519911528231?e=1677715200&v=beta&t=aL5oS8PNzOgV0v7gBn4cV2-gExyrIahjzIs_7frf-4c
39,Premier Inc.,Charlotte,NC,"1,001-5,000 employees",https://premierinc.com/,Hospitals and Health Care,Unknown,1967,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQEfAKuIBzwL1A/company-logo_200_200/0/1649092488482?e=1677715200&v=beta&t=k9tG7uiYkNmryZN06UlurxApJL80YYTSNQ0-xLmedfA
40,Epsilon,Irving,TX,"5,001-10,000 employees",http://www.epsilon.com/,Advertising Services,Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQEO3ziHcWN_oQ/company-logo_200_200/0/1656681282293?e=1677715200&v=beta&t=wAyPd2X5fbLbkBVWoOLuo4R0z19cASEUkTM0Em7DI0w
41,Cognomotiv,Menlo Park,CA,11-50 employees,http://www.cognomotiv.ai/,Motor Vehicle Manufacturing,Unknown,2016,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQHNoLT25vRzCA/company-logo_200_200/0/1539802394146?e=1677715200&v=beta&t=UZKTNSut4CRQaUKrcfavAE9PXXdj1pcKaw06QnbTwfY
42,Annalect,New York,NY,"1,001-5,000 employees",http://www.annalect.com/,Advertising Services,Unknown,2010,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQFzbBaBnUeTqw/company-logo_200_200/0/1647359353195?e=1677715200&v=beta&t=gOD9DN-LrE5XNTAP2w2_veri2vZ31oSPvuB6rKU80BY
43,Entelli Consulting,Itasca,IL,11-50 employees,http://www.entelli.com/,IT Services and IT Consulting,Unknown,1999,Unknown,https://media-exp1.licdn.com/dms/image/C510BAQGoehOY721sHA/company-logo_200_200/0/1519875121215?e=1677715200&v=beta&t=T9lHV6XjMDAHaukPwWjxHjExCEqBUVh1cK_jznUgVcY
44,Mentra,Charlotte,NC,11-50 employees,http://www.mentra.me/,Staffing and Recruiting,Unknown,2018,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQGuQCzZpplvqw/company-logo_200_200/0/1642986980757?e=1677715200&v=beta&t=kkydW0dzeoRHDVa4EDE0BEU9W3guWJq7XLEg0J6sPXM
45,TuSimple,San Diego ,CA,"501-1,000 employees",http://www.tusimple.com/,Software Development,Unknown,2015,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQFhckLoyA9FDw/company-logo_200_200/0/1637185896401?e=1677715200&v=beta&t=VZl_gPQhb4eRdKcvpv4X_RF-Gom-1zYkFe-LRPZlGh8
46,KingAgroot 清原农冠,qingdao,shandong,"1,001-5,000 employees",www.kingagroot.com/,Farming,Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQElFjJlENLFAw/company-logo_200_200/0/1652153651242?e=1677715200&v=beta&t=GtM1kD_DtJkk-1wiZffDqfue8TzJiZZw-Wz2rVDVdX8
47,Apixio,San Mateo,CA,51-200 employees,https://www.apixio.com/,Software Development,Unknown,2009,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQGF6LLyBInIYw/company-logo_200_200/0/1618935732848?e=1677715200&v=beta&t=lOeDb52tKJ9Qu6KeAGBo194kiubF8aeobVy3akcGink
48,Statkraft,Oslo,Oslo,"1,001-5,000 employees",http://www.statkraft.com/,Electric Power Generation,Unknown,1895,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQEakqxCzo4JfQ/company-logo_200_200/0/1519856219312?e=1677715200&v=beta&t=tKIxRRxaRjf9NPik-UjiFy4yBLrg4i2DhMEWh1YIzlw
49,Pronix Inc,Plainsboro,NJ,51-200 employees,https://www.pronixinc.com/,IT Services and IT Consulting,Unknown,2010,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQEWQM3xtcOTkw/company-logo_200_200/0/1638197707286?e=1677715200&v=beta&t=CZGPfBz9Ro6NSjmpHLKC6-pMLDH_q6mHNV2mR5nhda4
50,Acunor,Princeton,NJ,11-50 employees,http://www.acunor.com/,IT Services and IT Consulting,Unknown,2016,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQGMMKS2n5RYsQ/company-logo_200_200/0/1642807557950?e=1677715200&v=beta&t=fbTw8V3NqEKN1Ig5tFlvy7nTSpFqdN8aWdjRCUm4wa0
51,SyllogisTeks,Chesterfield,MO,51-200 employees,http://www.syllogisteks.com/,Staffing and Recruiting,Unknown,1992,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQHBiIU9pN0_1Q/company-logo_200_200/0/1630089398391?e=1677715200&v=beta&t=4u6yNoWRcwGa58Tva0jroN8FJ8N__yEtjU230_R-Vio
52,Vericast,San Antonio,TX,"5,001-10,000 employees",https://vericast.com/,Advertising Services,Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQE1BDTZG9510A/company-logo_200_200/0/1629236312357?e=1677715200&v=beta&t=5wWk7IWm6kqmUr4src1-lqwVQmut-x2A75Ofgskgt1g
53,SPECTRAFORCE,Raleigh,NC,"1,001-5,000 employees",http://www.spectraforce.com/,Staffing and Recruiting,Unknown,2004,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQHJ6JSPZacbdw/company-logo_200_200/0/1657741163019?e=1677715200&v=beta&t=qbh9KVSydRfOHhYK8JB9mrgGCAtYPIA2xTYESKypakg
54,TD,Toronto,Ontario,"10,001+ employees",http://www.td.com/,Banking,Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQGAdNSAqeT_wQ/company-logo_200_200/0/1598638232221?e=1677715200&v=beta&t=9nsqAxtqyTISo5bXwS1fiauJ5tVUMIqmsqYOg2pW7KM
55,Averity,New York,NY,11-50 employees,http://www.averityteam.com/,Staffing and Recruiting,Unknown,2014,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQGamq-8hsCt-A/company-logo_200_200/0/1519880413718?e=1677715200&v=beta&t=4nWnWWT686bsWJA5x-PzwDRvjTpjFFWX-T1XY4H95_k
56,Harnham,Wimbledon,London,201-500 employees,http://www.harnham.com/,Staffing and Recruiting,Unknown,2006,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQHy3DcTavEkHQ/company-logo_200_200/0/1654428475837?e=1677715200&v=beta&t=5_p6_ceKRfXhIDWRWqLsT8cZe7ghV1_VzftC35lM128
57,Aegistech,New York,NY,11-50 employees,http://www.aegistech.com/,Staffing and Recruiting,Unknown,1994,Unknown,https://media-exp1.licdn.com/dms/image/C510BAQG8-sKtDp0u1w/company-logo_200_200/0/1519930661881?e=1677715200&v=beta&t=02hzPLc60bdg42tSYUSXe1TqT41eNYKmuLYNUdyXu-Y
58,iTTCONNECT,Cape Town,Western Cape,2-10 employees,http://www.ittconnect.co.za/,"Technology, Information and Internet",Unknown,1999,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQHcoepktlicIg/company-logo_200_200/0/1519876352406?e=1677715200&v=beta&t=P_4C2aZxSBBhn1KSO5ExXRC5Chp1vGJICo54kA4hoYI
59,LCS,Des Moines,IA,"501-1,000 employees",https://www.lcsnet.com/,Hospitals and Health Care,Unknown,1971,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQFc2TihOdJHLA/company-logo_200_200/0/1519876562444?e=1677715200&v=beta&t=brIc1bPA86u0_9d5DJVw8-Ea0eTZd_w7B5x-ZoksjdM
60,Lumicity,Unknown,Unknown,51-200 employees,http://www.lumicity.io/,Staffing and Recruiting,Unknown,2016,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQEGGxBaHHPkHg/company-logo_200_200/0/1647973273118?e=1677715200&v=beta&t=tOYv99e6GtuHxvI6KKuEt8Oqf8Uf4OtGLqMTVBHfXy8
61,Hydrogen Health,New York,NY,11-50 employees,https://hydrogenhealth.com/,Hospitals and Health Care,Unknown,2021,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQFMJp_zdtmX1w/company-logo_200_200/0/1662758357722?e=1677715200&v=beta&t=8qF8fwBNdSHqUWcAOYUl32pPXZkso75N1pHLKSGMtd8
62,Big Cloud,Manchester ,Manchester,2-10 employees,https://bigcloud.global/,Staffing and Recruiting,Unknown,2013,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQHmFXa0sxUDJw/company-logo_200_200/0/1579704931442?e=1677715200&v=beta&t=A62N0SQSCEvqwxr1XjJkoi9b0wjGzXzzMuhsQ6yKo0o
63,Glocomms,London,London,"1,001-5,000 employees",http://www.glocomms.com/,Professional Services,Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQHMfxPsb7gbjA/company-logo_200_200/0/1659436071997?e=1677715200&v=beta&t=j2ih8CuKjWRnm46FHeuMEGHqrAyNhRQgKS0k6vLiF0k
64,Smith Hanley Associates,Southport,CT,11-50 employees,http://www.smithhanley.com/,Staffing and Recruiting,Unknown,1980,Unknown,https://media-exp1.licdn.com/dms/image/C510BAQHAgwinejS8GQ/company-logo_200_200/0/1519856135449?e=1677715200&v=beta&t=DoKYpFr7WtRj4hp4XC0QPrW1pBD_uWUTNMr_AmlMGys
65,Mission Recruit,Atlanta,GA,2-10 employees,http://www.missionrecruit.com/,Staffing and Recruiting,Unknown,2019,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQG5Eta0X82NkA/company-logo_200_200/0/1611437754592?e=1677715200&v=beta&t=3ObGeAtP9LBMQBdpO8kWq9pbyrjXvlUViLO94OfGXJ4
66,Selby Jennings,Unknown,Unknown,"1,001-5,000 employees",http://www.selbyjennings.com/,Professional Services,Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQFiwhyxAm1wDg/company-logo_200_200/0/1659435954071?e=1677715200&v=beta&t=dqCrLTFqZcLJAmdSHCaf5Th8HLGthAx3dntk8FhF4o4
67,Revolution Technologies,Melbourne,FL,"1,001-5,000 employees",http://www.revolutiontechnologies.com/,Staffing and Recruiting,Unknown,1993,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQE_mt1GNQ7Mdw/company-logo_200_200/0/1658259632587?e=1677715200&v=beta&t=4MPpiaK7eP27rDhOoZzYJAF3iDYnAB9ExZ0H2w74LTc
68,BioPhase,San Diego,CA,11-50 employees,http://www.biophaseinc.com/,Staffing and Recruiting,Unknown,2004,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQHAcN72g9M5jw/company-logo_200_200/0/1648497531241?e=1677715200&v=beta&t=VLCI61x4jxQlfDTjywxnhWhCGdgjRoAAC_r1aFDgIhg
69,Qual IT Resources,Cincinnati,OH,51-200 employees,http://www.qualitresources.com/,Staffing and Recruiting,Unknown,2017,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQFJD03HWm9LEg/company-logo_200_200/0/1571961641270?e=1677715200&v=beta&t=-bdVklSrEi-YkswhUXXsRCsOkwJtz_IAT4-hg7NHxRE
70,Stem IT,Washington DC,DC,2-10 employees,http://www.stemit.io/,Staffing and Recruiting,Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQFUMut9jT1Vmw/company-logo_200_200/0/1552404485498?e=1677715200&v=beta&t=ciC7Jv2Fb7qElk9e_yGzyazVQE3TRG9ZjgToztCNQJA
71,X4 Technology,London,England,51-200 employees,http://www.x4-technology.com/,Staffing and Recruiting,Unknown,2008,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQF236_6muuLIQ/company-logo_200_200/0/1643663927088?e=1677715200&v=beta&t=soa2Tej4wyvhUR0jnGqytmkuQktLZrGpZ9d-d4o0wsI
72,Budderfly,Shelton,CT,51-200 employees,http://www.budderfly.com/,Facilities Services,Unknown,2007,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQHtd8TgWjQ5bw/company-logo_200_200/0/1569876024324?e=1677715200&v=beta&t=Fchh8Y0CzErafE0kX7EaMc72tZVdyyxjz_DjBCM6L0s
73,Lacework,San Jose,CA,"1,001-5,000 employees",https://www.lacework.com/,Computer and Network Security,Unknown,2015,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQG3pR8fPMSo0Q/company-logo_200_200/0/1643851905664?e=1677715200&v=beta&t=fsJUts5tX3MaQKeD0i30FN421fhNmUAkPmFAZ0By58M
74,Froedtert Health,Milwaukee,WI,"10,001+ employees",https://www.froedtert.com/,Hospitals and Health Care,Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQGSLSBezkL5QQ/company-logo_200_200/0/1522958494314?e=1677715200&v=beta&t=fWKH0TtRc6FiPvnQUmxCaNq9vHILQBz34BDCwxHSWys
75,Lawrence Harvey,London,London,51-200 employees,http://www.lawrenceharvey.com/,Staffing and Recruiting,Unknown,2002,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQHyOdWZHrEO5A/company-logo_200_200/0/1664120215584?e=1677715200&v=beta&t=8_rs7I0bNjeySISKzBmPVdB48CtGQrz2YVbhuXwL36M
76,Velo3D,Campbell,CA,201-500 employees,http://www.velo3d.com/,Machinery Manufacturing,Unknown,2014,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQHfu3__HpfpgA/company-logo_200_200/0/1631644608888?e=1677715200&v=beta&t=aWlIBWWcWh2f2GYFSKjkspAJSgxzcGbIIyk-YoiwPD0
77,Magnus Technology Solutions,Hayward,CA,11-50 employees,https://magnustechnol.com/,Staffing and Recruiting,Unknown,2011,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQHw5auZXdg4WA/company-logo_200_200/0/1597948117976?e=1677715200&v=beta&t=nZPujd5grBzd2DzyywAxJyeIw29CiDDTW_4W4Te65fw
78,Butlr,Burlingame,CA,11-50 employees,https://www.butlr.io/,Software Development,Unknown,2019,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQHNQw0gT3BO3w/company-logo_200_200/0/1625019026198?e=1677715200&v=beta&t=Jn8v1Rn4F2WA6JskqvGi1QffmX-MMNwyeJJH5LIVZHM
79,"Latigo Biotherapeutics, Inc.",Thousand Oaks,CA,2-10 employees,Unknown,Biotechnology Research,Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQGjjnlZ7ScojQ/company-logo_200_200/0/1586801242611?e=1677715200&v=beta&t=hN5auLNaZEqJZarTDxb3tkoy6YtlHGvKgCFO_YvQRss
80,Chick-fil-A Corporate Support Center,Atlanta,GA,"1,001-5,000 employees",https://www.chick-fil-a.com/careers/,Restaurants,Unknown,1946,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQFp7YtVucYbXQ/company-logo_200_200/0/1519855910315?e=1677715200&v=beta&t=w8gr9AEuWzYfVLfowC_FaZL7Ow6bie0hxGLd7FBR9V8
81,CRB Workforce,West Hollywood,CA,11-50 employees,http://www.crbworkforce.com/,Staffing and Recruiting,Unknown,2018,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQEIYzA3ihkoLw/company-logo_200_200/0/1539708238459?e=1677715200&v=beta&t=ZYkB7laLVT9vgY9mbItqHyC1Oqerx-Ogq3GlJUSFaYM
