ID,company_name,city,state,size,website,industry,revenue,founded,company_type,logo_url
3301,Jacobs,Dallas,TX,"10,001+ employees",http://www.jacobs.com/,Business Consulting and Services,Unknown,1947,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQHKxXfAR2QclA/company-logo_200_200/0/1657153439450?e=1677715200&v=beta&t=GZWCtxW_AV1yv1WN9kh8vBMPhU9nYDszLx0Lf9EdlVI
3302,Jakks Pacific,Santa Monica,CA,"501-1,000 employees",http://www.jakks.com/,Manufacturing,Unknown,1995,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQFWNY7prR79sA/company-logo_200_200/0/1519856428102?e=1677715200&v=beta&t=iVhZ6-Si013OmNJUUEFWjHqElxAQuOAO10G2Ss_p6Do
3303,Johnson Outdoors,Racine,WI,"1,001-5,000 employees",http://www.johnsonoutdoors.com/,Sporting Goods Manufacturing,Unknown,1970,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQEO4iAixyoK_w/company-logo_200_200/0/1534255960949?e=1677715200&v=beta&t=gDndrZo4Rr_qFbNplD5l7dG_ScIrqyKy9Tan2P-UjJ0
3304,Johnson & Johnson,New Brunswick,NJ,"10,001+ employees",http://www.jnj.com/,Hospitals and Health Care,Unknown,1886,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQFwn8CHaum_AA/company-logo_200_200/0/1519856123566?e=1677715200&v=beta&t=y3D10gngeUiaUteefyDSpyLdut9Fqm65crXtYbueUJA
3305,KORE1,Irvine,CA,51-200 employees,http://www.kore1.com/,Staffing and Recruiting,Unknown,1929,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQEoclEiibukzA/company-logo_200_200/0/1648156134784?e=1677715200&v=beta&t=_ELAgdzJw45pWYzx7XFzNB0wvKdYNdUt0TLW6GohUDY
3306,Kroger,Cincinnati,OH,"10,001+ employees",http://www.thekrogerco.com/,Retail,Unknown,1883,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQHss0K2NdDgcA/company-logo_200_200/0/1634131588318?e=1677715200&v=beta&t=egGeUDzhBBzRXNV3dJseF0amRVoezC265oxsZbKPm4w
3307,Kaiser Permanente,Oakland,CA,"10,001+ employees",http://kp.org/,Hospitals and Health Care,Unknown,1945,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQHMjIBdoKjOzQ/company-logo_200_200/0/1519856215191?e=1677715200&v=beta&t=TW2zJlxVKQ-iR9x0gvjDM1mpjRhUfsXvapHLf5ze3Ts
3308,Keysight Technologies,Santa Rosa,CA,"10,001+ employees",http://www.keysight.com/,"Appliances, Electrical, and Electronics Manufacturing",Unknown,2014,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQHx2YWZyZcjrw/company-logo_200_200/0/1657140933182?e=1677715200&v=beta&t=xTJJCo7DH42tIn_It-99B0Azhd3s6NpBBYGOakrwaUE
3309,Kforce Inc,Tampa,FL,"1,001-5,000 employees",http://www.kforce.com/,IT Services and IT Consulting,Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQEtonVHDHqAZQ/company-logo_200_200/0/1639415774981?e=1677715200&v=beta&t=7Qs0oTYakmzV0IWUimN0neDWMZJe5JD-DY-lH6AZMEU
3310,Kimley-Horn,Raleigh,NC,"5,001-10,000 employees",http://www.kimley-horn.com/,Civil Engineering,Unknown,1967,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQFIJAqv7OIuGg/company-logo_200_200/0/1540488796577?e=1677715200&v=beta&t=R9Hm_TguYSE77qmjEM9mZDwJXMPUzMw5_sbxiaE8cCs
3311,Kimberly-Clark,Irving,TX,"10,001+ employees",https://linktr.ee/KimberlyClarkCareers/,Manufacturing,Unknown,1872,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQFahtjOdf_ETQ/company-logo_200_200/0/1542208571146?e=1677715200&v=beta&t=sSHTH2E05YJzQX3k5Ps3gk253LJVqpOb9Nfs3SgnDvI
3312,King,Unknown,Unknown,"1,001-5,000 employees",https://careers.king.com/,Entertainment,Unknown,1956,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQFgaRHGKXhJHQ/company-logo_200_200/0/1660465385915?e=1677715200&v=beta&t=y-f-zwnpboFMcDSpQiQKFfA6GgO3P5uUKrg2V03GT9c
3313,Koch Industries,Wichita,KS,"10,001+ employees",https://www.kochind.com/,Oil and Gas,Unknown,1940,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQE7yR2aq6dx7w/company-logo_200_200/0/1573836413473?e=1677715200&v=beta&t=X5NbmHfAuzBiVEm3oOBLEQSnztLSkoYYDCtA0XNRC_4
3314,Kohl's,Menomonee Falls,WI,"10,001+ employees",http://kohlscareers.com/li/,Retail,Unknown,1962,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQHJkjbGxbeHyw/company-logo_200_200/0/1554476726139?e=1677715200&v=beta&t=CkA7E0a9b5RR_v7DDhbaM6i3hr6UdTBHnnTjBib7W78
