glassdoor.id,linkedin.id
5,517
89,449
1211,545
1303,381
402,1686
1400,398
573,858
1001,1255
262,198
1549,367
622,150
440,272
455,345
1231,1371
583,1884
1427,218
878,538
1239,568
1527,549
1435,104
