ID,name,url,headquarter,size,founded,company_type,industry,description,revenue,company_url
16,American International Industries,"https://www.glassdoor.com/Overview/Working-at-American-International-Industries-EI_IE21900.11,44.htm","Kemah, TX",51 to 200 Employees,,Company - Public (AMIN),Investment & Asset Management,"Nothing says Texas like oil and real estate. American International Industries (AII) covers those bases -- and more -- from its home in the Houston metro area. The company typically takes a controlling interest in undervalued companies; it holds investments in oil wells, real estate, and various industrial manufacturers. AII owns Delta Seaboard International (formerly Hammonds Industries), which operates technical services, fuel additives, and water treatment systems divisions. Its Northeastern Plastics subsidiary makes automotive after-market products. International Diversified Corporation (a firm connected with the brother of chairman and CEO Daniel Dror) owns 27% of the firm.",Less than $1 million (USD),http://www.americanii.com/
17,Palazzo Post Acute,"https://www.glassdoor.com/Overview/Working-at-Palazzo-Post-Acute-EI_IE6084763.11,29.htm","Los Angeles, CA",Unknown,,Company - Public,,,Unknown / Non-Applicable,http://www.palazzopostacute.com/
18,Los Angeles Dental Academy,,,,,,,,,
19,"Winstar Properties, LLC.","https://www.glassdoor.com/Overview/Working-at-Winstar-Properties-EI_IE1278011.11,29.htm","Los Angeles, CA",1 to 50 Employees,2012,Company - Private,Real Estate,Winstar Properties is a full service Real Estate investment and property management firm.,Unknown / Non-Applicable,http://www.winstarproperties.com/
20,Pasadena Unified School District,"https://www.glassdoor.com/Overview/Working-at-Pasadena-Unified-School-District-EI_IE211836.11,43.htm","Pasadena, CA",Unknown,,School / School District,Primary & Secondary Schools,,Unknown / Non-Applicable,http://www.pusd.us/
21,DEELS Properties,,,,,,,,,
22,Agile Sourcing Partners,"https://www.glassdoor.com/Overview/Working-at-Agile-Sourcing-Partners-EI_IE720171.11,34.htm","Corona, CA",201 to 500 Employees,2006,Company - Private,Energy & Utilities,"Agile is an award-winning, national supply chain company with offices in over 8 locations across the country. Agile is one of the most diverse distributors in the country in the utility and telecom industry with over $1B in transactions processed since Agile’s inception. Agile, like its name, is nimble like a start-up but professional and structured like the Fortune 100 companies Agile serves. Agile is looking for candidates who have experience working in a fast-paced, creative and dynamic environments with complex industries.",$100 to $500 million (USD),http://www.agilesourcingpartners.com/
23,Country Archer,"https://www.glassdoor.com/Overview/Working-at-Country-Archer-EI_IE1638444.11,25.htm","San Bernardino, CA",1 to 50 Employees,,Company - Private,,"Today, Country Archer’s line of healthy jerky and meat snacks are sold nationwide. And although the company has grown, we’re still paying homage to Mirarchi’s decades-old tradition by making our snacks in small batches at our California facility using healthful ingredients and protein options like grass-fed beef, antibiotic-free turkey, and pork. Whether you reach for them in your pantry, backpack, desk or lunchbox, we hope Country Archer products make it easier for you to eat healthfully, while doing the things you love.",$1 to $5 million (USD),http://www.countryarcher.com/
24,Ashfield Engage,"https://www.glassdoor.com/Overview/Working-at-Ashfield-EI_IE442224.11,19.htm","Ashby de la Zouch, United Kingdom",5001 to 10000 Employees,1997,Subsidiary or Business Segment,Health Care Services & Hospitals,,$500 million to $1 billion (USD),http://oneashfield.com/
25,Veracity Research Company,"https://www.glassdoor.com/Overview/Working-at-Veracity-Research-Company-EI_IE914504.11,36.htm","Argyle, TX",201 to 500 Employees,,Private Practice / Firm,Security & Protective,,$25 to $100 million (USD),http://www.vrcinvestigations.com/
