ID,name,url,headquarter,size,founded,company_type,industry,description,revenue,company_url
365,Basta Boatlifts,"https://www.glassdoor.com/Overview/Working-at-Basta-Boatlifts-EI_IE3220335.11,26.htm","SeaTac, WA",1 to 50 Employees,1985,Company - Private,Consumer Product Manufacturing,"Basta Boatlifts designs and manufactures premium boat lifts. Headquartered in SeaTac, Washington USA. Basta Boatlifts is a company dedicated to life on the water.

The Innovation Leader
Basta began as a small and local dock company in the 1980’s, selling boat lifts, building docks, and repairing bulkheads. Experience with all kinds of waterfront setups lead to the realization that we could do it better. Basta embarked on a new way to secure and protect boats.

Innovations emerged quickly, and in 1989 Basta Boatlifts entered the Seattle Boat Show with the first-ever solar powered remote-control accessory. The first Basta boat lift followed in 1990 – a cable PWC lift, very similar to our 1.4k lift today.

Shortly thereafter Basta Boatlifts invented the industry changing “Over-Center” gravity locking design making the cantilever style boat lift safer than ever. While other boat lift manufacturers designed boat lifts that fought gravity, Basta used gravity to keep a boat in place. The Over-Center gravity locking design was patented in 1993 and now is the standard throughout the boat lift industry.

The company’s passion for continuous improvement continues and today, Basta Boatlifts holds over 12 patents, with more pending, to bring you the best for your boat.",Unknown / Non-Applicable,http://www.bastaboatlifts.com/
366,Rad Power Bikes,"https://www.glassdoor.com/Overview/Working-at-Rad-Power-Bikes-EI_IE1999300.11,26.htm","Seattle, WA",501 to 1000 Employees,2007,Company - Private,Sports & Recreation,"Rad Power Bikes is North America's largest electric bike brand, and we build bikes for everything and everyone. With a groundbreaking direct-to-consumer model combined with a growing retail footprint, we are democratizing ebikes and bringing the #RadGrin to hundreds of thousands of riders around the world.

Our mission-driven global team brings expertise from varied backgrounds and industries such as automotive, biking, manufacturing, consumer electronics, and e-commerce. We are laser-focused on providing a world-class customer experience and purpose-built, inclusive ebikes that offer unparalleled value and utility.

At Rad Power Bikes, we’re building a world where transportation is energy-efficient, enjoyable, and accessible to all.",Unknown / Non-Applicable,http://www.radpowerbikes.com/
367,"Neal, Leonard,& Sorensen Implant, Facial,and Oral Surgery",,,,,,,,,
368,Go Green Heating & Air Conditioning,"https://www.glassdoor.com/Overview/Working-at-Go-Green-Heating-and-Air-Conditioning-EI_IE7277662.11,48.htm","Seattle, WA",Unknown,,Company - Public,,,Unknown / Non-Applicable,http://www.go-greenheating.com/
369,Seattle Strength and Performance,,,,,,,,,
370,Custom Wood Interiors,,,,,,,,,
371,Randy L. Weisz DDS,,,,,,,,,
372,Down to Earth Cuisine LLC,,,,,,,,,
373,Jeremy Olson Agency,"https://www.glassdoor.com/Overview/Working-at-Allstate-EI_IE2341.11,19.htm","Northbrook, IL",10000+ Employees,1931,Company - Public (ALL),Insurance Agencies & Brokerages,"We believe that loving your job is an important step in living a good life. So, whether you're an intern just starting out or a lawyer, marketing manager, customer service specialist, or software engineer looking to grow your career, we'll help make your dream job a reality—all while you do meaningful work that makes a real difference for Allstate customers and our communities.

Want to work for yourself? As an Allstate Agency Owner or personal financial representative, you will. As a small business owner, you’ll have the freedom to work closely with your community and have the support of the Allstate brand to help you bring good to life where you live and work each day. If Allstate sounds like a good fit for you, visit www.allstate.com/careers.aspx.",$10+ billion (USD),http://www.allstate.com/
374,Endodontics Northwest,,,,,,,,,
375,AVEDA Institutes and Neill Corporation,"https://www.glassdoor.com/Overview/Working-at-Neill-EI_IE225942.11,16.htm","Hammond, LA",501 to 1000 Employees,,Company - Private,"Department, Clothing & Shoe Stores","VERYONE MATTERS.
EVERYTHING MATTERS.

We believe relationships are the key to the universe. Only when we focus on the relationship, and care for the individuals involved, can we all truly reach our potential — because we need each other
to get there.

AVEDA CARES.
AVEDA is the perfect balance between creativity and business with a purpose. Our core business is distributing AVEDA products in the southeast, including: TX, OK, LA, AR, TN, MS and AL. AVEDA is a powerful, pioneering brand, fiercely loyal to its network, with a vision for doing business consciously and sustainably. The primary purpose of AVEDA’s ecosystem is to drive guests into AVEDA salons and spas for a uniquely AVEDA experience.

TALENT IS OUR GREATEST RESOURCE.
The number one challenge facing salon owners today is finding great talent. This is why, between us, we own and operate 19 award-winning AVEDA schools of cosmetology, esthiology and massage.

http://neill.com/family-of-businesses/",$100 to $500 million (USD),http://www.neill.com/
376,Chi Omega Sorority,,,,,,,,,
377,Meridian Adjusting & Appraisals,,,,,,,,,
378,Top Local Janitorial Company,,,,,,,,,
379,13 Coins Restaurant,"https://www.glassdoor.com/Overview/Working-at-13-Coins-EI_IE1047293.11,19.htm","Seattle, WA",Unknown,,Company - Private,Restaurants & Cafes,,Unknown / Non-Applicable,https://www.13coins.com/
380,Virginia Mason Medical Center,"https://www.glassdoor.com/Overview/Working-at-Virginia-Mason-Franciscan-Health-EI_IE121663.11,43.htm","Tacoma, WA",5001 to 10000 Employees,1920,Hospital,Health Care Services & Hospitals,"Virginia Mason Franciscan Health brings together two award-winning health systems in Washington state – CHI Franciscan and Virginia Mason. As one integrated health system with the most patient access points in western Washington, our team includes 18,000 staff and nearly 5,000 employed physicians and affiliated providers.

CommonSpirit Health was created in early 2019 when Catholic Health Initiatives and Dignity Health came together as one ministry. In 2021, Virginia Mason Franciscan Health was born out of two health systems - CHI Franciscan and Virginia Mason. Together, we believe in the power of humankindness to heal ALL of our communities across the nation.",$500 million to $1 billion (USD),https://www.commonspirit.careers/
381,MACKAY MARINE,"https://www.glassdoor.com/Overview/Working-at-Mackay-Communications-EI_IE273535.11,32.htm","Raleigh, NC",201 to 500 Employees,1884,Company - Private,Telecommunications Services,"Mackay Communications, Inc. sells, installs, and services communication and navigation equipment on board vessels of all class and size. Mackay, in business for over 130 years, has 3,000+ customers spread over every continent, annually conducts 17,000+ service calls, employs 300 professionals, with locations in more than 30 major ports. Mackay World Service coordinates service, installation and inspections 24/7 for all ports, worldwide.",$100 to $500 million (USD),http://www.mackaycomm.com/
382,Summit Rehabilitation (WA),"https://www.glassdoor.com/Overview/Working-at-Summit-Pacific-Rehabilitation-EI_IE194698.11,40.htm","Mukilteo, WA",1 to 50 Employees,,Unknown,Health Care Services & Hospitals,,Less than $1 million (USD),http://www.summitpacificrehab.com/
383,Sock Harbor Seattle,,,,,,,,,
384,"Li'l Chief Specialties, Inc",,,,,,,,,
385,Urban Dental Group,,,,,,,,,
386,"Ben's Cleaner Sales, Inc.",,,,,,,,,
387,"Clarity Counseling Seattle, P.S.",,,,,,,,,
388,Trident Seafoods Corporation,"https://www.glassdoor.com/Overview/Working-at-Trident-Seafoods-EI_IE14955.11,27.htm","Seattle, WA",5001 to 10000 Employees,1973,Company - Private,Food & Beverage Manufacturing,"Something's ""supposed"" to be fishy at Trident Seafoods. The vertically integrated seafood business harvests pollock, cod, salmon, crab, and assorted other fin- and shellfish from the icy waters of Alaska and the Pacific Northwest. It then processes and cans, freezes or ships them fresh for retail food and foodservice customers, in addition to selling under their own labels. Trident operates a fleet of some 45 vessels, as well as about 20 onshore processing plants in Alaska, Washington, Minnesota and Oregon. The company's brands include Trident Seafoods, Kasilof, Portlock, Louis Kemp, and SeaLegs brand of surimi (crab-flavored processed fish) among others. The company operates a single retail store in Seattle.",$1 to $5 billion (USD),http://www.tridentseafoods.com/
389,Southeast Youth and Family Services,,,,,,,,,
390,JAS Design Build,,,,,,,,,
391,Amazon Physical Stores,"https://www.glassdoor.com/Overview/Working-at-Amazon-EI_IE6036.11,17.htm","Seattle, WA",10000+ Employees,1994,Company - Public (AMZN),Internet & Web Services,"All Amazon teams and businesses, from Prime delivery to AWS, are guided by four key tenets: customer obsession rather than competitor focus, passion for invention, commitment to operational excellence, and long-term thinking.

We are driven by the excitement of building technologies, inventing products, and providing services that transform the way our customers live their lives and run their businesses.",$10+ billion (USD),http://www.amazon.jobs/
392,Therapeutic Health Services,"https://www.glassdoor.com/Overview/Working-at-Therapeutic-Health-Services-EI_IE694502.11,38.htm","Seattle, WA",201 to 500 Employees,1972,Nonprofit Organization,Health Care Services & Hospitals,"At Therapeutic Health Services (THS), we believe in treatment that deals with the whole person and every aspect of his or her life. Our approach includes mental health and family services, plus a wide range of chemical dependency treatments such as methadone and counselling. Years of working with the diverse community of Puget Sound has taught our staff the value of providing services that are culturally relevant and in line with each individual’s needs.

Therapeutic Health Services operates on the belief that chemical dependency and mental illness are chronic, progressive diseases that respond to appropriate intervention, treatment and prevention. By effectively employing all three, individuals and families are better able to lead healthy and productive lives in their communities.",$5 to $25 million (USD),http://www.ths-wa.org/
393,United Auto Credit Corporation,"https://www.glassdoor.com/Overview/Working-at-United-Auto-Credit-Corp-EI_IE146316.11,34.htm","Newport Beach, CA",201 to 500 Employees,1996,Company - Private,Banking & Lending,"Accountability. Service Excellence. Consistency. Integrity. Fun. These are the principles that define United Auto Credit and have become our way of life. We have a constant drive to make a difference in all aspects of our organization – our dealers, customers, team members, and within our community. At UACC, we created a company culture that helps team members thrive and grow in their career. Our team leads our culture and with that, our success.

United Auto Credit works with auto dealers to provide financing opportunities for their customers from all credit backgrounds. We provide an extensive suite of tools, services, and guidance to help drive financial success for our dealers. We’re committed to constantly developing and reinventing strategies with one main goal in mind – making a real difference for our dealers and customers.

Our teammates are dedicated to making sure every interaction is exceptional, with a sole focus on delivering opportunities.",$100 to $500 million (USD),http://www.unitedautocredit.net/
394,NavAid Health,"https://www.glassdoor.com/Overview/Working-at-NavAid-Health-EI_IE7125750.11,24.htm","Oklahoma City, OK",Unknown,,Company - Public,,,Unknown / Non-Applicable,http://www.navaidhealth.com/
395,VIGOR MARINE LLC,"https://www.glassdoor.com/Overview/Working-at-Vigor-EI_IE685302.11,16.htm","Portland, OR",1001 to 5000 Employees,1995,Company - Private,Machinery Manufacturing,"Vigor is a leading provider of innovative shipbuilding, ship repair and industrial services. Our dynamic operations in Oregon, Washington and Alaska are rooted in a 100 year history of pride and craftsmanship.

Our approach is simple. We value hard work and smart thinking. Every member of the Vigor team is accountable for the success of the company. We don’t accept the status quo. We minimize barriers and bureaucracy so everyone is empowered to get the job done. We respond quickly to market conditions and our customer’s needs. We take safety and our responsibility for environmental protection seriously.

What is vigor? It’s physical and mental strength. It means effort, energy and enthusiasm. Vigor is the capacity to survive and grow. What is Vigor Industrial? It’s our people.

Vigor: Industrial Evolution.",$500 million to $1 billion (USD),http://www.vigor.net/
396,Paycom,"https://www.glassdoor.com/Overview/Working-at-Paycom-EI_IE136736.11,17.htm","Oklahoma City, OK",1001 to 5000 Employees,1998,Company - Public (PAYC),Enterprise Software & Network Solutions,,$1 to $5 billion (USD),https://www.paycom.com/
397,Seattle Iron & Metals Corp,,,,,,,,,
398,Organization for Research and Learning,"https://www.glassdoor.com/Overview/Working-at-Organization-for-Research-and-Learning-EI_IE1406472.11,49.htm","Seattle, WA",1 to 50 Employees,,Self-employed,Health Care Services & Hospitals,,Unknown / Non-Applicable,http://www.o4rl.com/
399,"RxSight, Inc.","https://www.glassdoor.com/Overview/Working-at-RxSight-EI_IE1797059.11,18.htm","Aliso Viejo, CA",Unknown,,Company - Public (RXST),Health Care Products Manufacturing,,Unknown / Non-Applicable,http://www.rxsight.com/
400,NeurOptics,"https://www.glassdoor.com/Overview/Working-at-Neuroptics-EI_IE2878611.11,21.htm","Laguna Hills, CA",1 to 50 Employees,,Unknown,,NeurOptics is a medical device manufacturer.,Unknown / Non-Applicable,http://www.neuroptics.com/
401,Charlie Hellstern Interior Design,,,,,,,,,
402,SightLife,"https://www.glassdoor.com/Overview/Working-at-SightLife-EI_IE419635.11,20.htm","Seattle, WA",201 to 500 Employees,1969,Nonprofit Organization,Health Care Services & Hospitals,"Founded in 1969, SightLife is the only non-profit global health organization solely focused on eliminating corneal blindness in the U.S. and around the world. Driven by an entrepreneurial spirit, the organization leverages innovative technologies and best business practices to transform lives and unlock life's possibilities for the corneal blind. SightLife works in partnership with surgeons and health organizations in more than 29 countries. SightLife and its global eye bank partners combined provided over 24,000 corneas for transplant in 2015.

For the last five years, SightLife has been named one of Non-Profit Times “50 Best Places to Work” in the nation. In 2013, we were ranked the number one mid-sized organization. Put your passion to work and consider joining this team of professionals fulfilling a mission to serve as an innovative provider of sight with a passion for quality and excellence.",$25 to $100 million (USD),http://www.sightlife.org/
403,Rodda Paint Co.,"https://www.glassdoor.com/Overview/Working-at-Rodda-Paint-EI_IE14462.11,22.htm","Portland, OR",201 to 500 Employees,1932,Company - Private,Chemical Manufacturing,"Rodda Paint, one of the largest paint manufacturers in the Pacific Northwest, makes paints and other coatings that it sells in its 55 stores located throughout Alaska, Idaho, Montana ,Oregon, and Washington. (It also sells through independent dealers in California, Montana, and Nevada.) Art Rodda founded Rodda Paint in 1932. In 2004 Rodda joined forces with an even larger regional paints maker, Canadian company Cloverdale Paint. The two companies merged operations but kept using separate names in their respective countries and maintained separate management teams.",$100 to $500 million (USD),http://www.roddapaint.com/
404,EviDent Alliance,"https://www.glassdoor.com/Overview/Working-at-EviDent-Alliance-EI_IE4937998.11,27.htm","Bellevue, WA",Unknown,,Company - Private,Dental Clinics,,Unknown / Non-Applicable,https://evidentalliance.com/
405,Provail,"https://www.glassdoor.com/Overview/Working-at-PROVAIL-EI_IE377340.11,18.htm","Seattle, WA",51 to 200 Employees,1942,Nonprofit Organization,Civic & Social Services,"PROVAIL is one of Washington State’s largest, multi-service agencies dedicated to meeting the needs of children, youth, and adults with disabilities who need an integrated, complex set of services to live life according to their own choices. Serving primarily King and Snohomish Counties, PROVAIL offers a comprehensive range of services to support people, with even the most severe disabilities, in all major areas of life so they can live, work, play, and fully participate in the community of their choice.

As a nationally recognized leader in this field, our collaborative team approach features supportive management, mission-driven coworkers, positive work environment and thorough training. We value diversity and inclusion in all aspects of our organization and services. We are positioned to make a major impact within our service area, and our reach is growing. At PROVAIL you can access great career opportunities as our team grows and develops specialized programs to better serve our community! To view and apply for open positions in all departments, visit our website at www.provail.org/careers.",$5 to $25 million (USD),http://www.provail.org/
406,"TLG Aerospace, LLC","https://www.glassdoor.com/Overview/Working-at-TLG-Aerospace-EI_IE1642210.11,24.htm","Seattle, WA",1 to 50 Employees,,Company - Private,Aerospace & Defense,,$5 to $25 million (USD),http://www.tlgaerospace.com/
407,Evergreen Treatment Services & REACH,"https://www.glassdoor.com/Overview/Working-at-Evergreen-Treatment-Services-EI_IE990159.11,39.htm","Seattle, WA",201 to 500 Employees,1973,Nonprofit Organization,Hospitals & Health Clinics,"Evergreen Treatment Services is a private, 501(c)(3) nonprofit organization with a national and regional reputation for excellence that has been delivering evidence-based substance use disorder and social services in Western Washington since 1973. Our interdisciplinary team includes clinicians with advanced degrees in medicine, psychiatry, nursing, psychology, social work, counseling and acupuncture. ETS uses a comprehensive approach to treatment which combines medication assisted treatment with wraparound services such as medical monitoring, counseling, and drug screens.

We also support the REACH team which provides street-based, case management and outreach services to adults living outside in the greater Seattle area.

ETS is dedicated to the equal treatment of all our patients. We do not discriminate on the basis of race, color, national origin, age, disability, or sex.",$5 to $25 million (USD),http://www.evergreentx.org/
408,Hudson Group,"https://www.glassdoor.com/Overview/Working-at-Hudson-EI_IE4418.11,17.htm","East Rutherford, NJ",10000+ Employees,1987,Company - Public (HUD),Other Retail Stores,"Hudson, a Dufry Company, is a travel experience company turning the world of travel into a world of opportunity by being the Traveler’s Best Friend in more than 1,000 stores in airport, commuter hub, landmark, and tourist locations. Our 10,000+ team members care for travelers as friends at our travel convenience, specialty retail, duty free and food and beverage destinations. At the intersection of travel and retail, we partner with landlords and vendors, and take innovative, commercial approaches to deliver exceptional value. To learn more about how we can make your location a travel destination, please visit us at hudsongroup.com.",$1 to $5 billion (USD),http://www.hudsongroup.com/
409,Careforce Inc,"https://www.glassdoor.com/Overview/Working-at-CareForce-EI_IE596655.11,20.htm","Lynnwood, WA",51 to 200 Employees,1999,Company - Private,Health Care Services & Hospitals,"Since 1999, CareForce has provided support that has allowed thousands of seniors and people with chronic or disabling illness to continue their routine in the comfort of their own home. By offering their expertise in home care, home health care, specialty nursing, and geriatric care management, CareForce serves to address a wide range of needs throughout King and Snohomish County. This empowers our senior clients to remain safely at home even when their care requirements change over time.

A family-owned company, CareForce is guided by its Mission: professional ethics and family values. Its local founders have Masters Degrees in Nursing and Social Work from Washington Universities. Together they bring over 75 years of professional health care experience to the responsibility of delivering in home care for seniors with unmatched reliability.",$1 to $5 million (USD),http://www.careforce.com/
410,"V.J. SCOZZARI & SONS, INC.",,,,,,,,,
411,"Riverside Abstract, LLC","https://www.glassdoor.com/Overview/Working-at-Riverside-EI_IE2154138.11,20.htm","Brooklyn, NY",Unknown,,Company - Private,Real Estate,,Unknown / Non-Applicable,https://www.rsabstract.com/
412,Paris Baguette Red Bank,,,,,,,,,
413,"Nationwide Imaging Services, An MXR Imaging Company","https://www.glassdoor.com/Overview/Working-at-Nationwide-Imaging-Services-EI_IE2973121.11,38.htm","Wall, NJ",1 to 50 Employees,,Company - Private,Other Retail Stores,,Unknown / Non-Applicable,http://www.nationwideimaging.com/
414,Hosokawa Micron Powder Systems,"https://www.glassdoor.com/Overview/Working-at-Hosokawa-Micron-Powder-Systems-EI_IE741960.11,41.htm","Summit, NJ",51 to 200 Employees,,Company - Public,Consumer Product Manufacturing,"Hosokawa Micron Powder Systems designs and manufactures size reduction systems and powder processing solutions for the Chemical, Pharmaceutical, Food, Mineral, Cosmetic and Plastic industries.",$25 to $100 million (USD),http://www.hmicronpowder.com/
415,Homes By Hand,,,,,,,,,
416,The Scheer Immigration Law Group,,,,,,,,,
417,"Architectural Metal Panels, LLC",,,,,,,,,
418,Happy Trails Professional Pet Sitting & Dog Walking Services,,,,,,,,,
419,"NORTHERN NURSERIES, INC","https://www.glassdoor.com/Overview/Working-at-Northern-Nurseries-EI_IE1534970.11,29.htm","Enfield, CT",51 to 200 Employees,,Company - Public,Floral Nursery,,Unknown / Non-Applicable,http://www.robertbaker.com/
420,Sussex Rural Electric Cooperative,,,,,,,,,
421,Blackpoint Technology,,,,,,,,,
422,GATEWAY KIA OF DENVILLE,"https://www.glassdoor.com/Overview/Working-at-Gateway-Kia-EI_IE2608044.11,22.htm","Denville, NJ",Unknown,,Company - Public,Vehicle Dealers,,Unknown / Non-Applicable,https://www.shopgatewaykia.com/
423,Cafe Trois INC,,,,,,,,,
424,Cumberland County Charter School Network,"https://www.glassdoor.com/Overview/Working-at-Cumberland-County-Charter-School-Network-EI_IE6832125.11,51.htm","Millville, NJ",Unknown,,Company - Private,,"Cumberland County Charter School Network (CCCSN) is an Education Provider, with the purpose of providing managerial administrative and educational services. CCCSN operates high-quality, high-performing, independent charter schools using a shared service model for administrators, professional staff, support staff, and business services. CCCSN operates three high-quality public charter schools in Cumberland County, New Jersey.",Unknown / Non-Applicable,https://www.cccharters.org/
425,Walmart,"https://www.glassdoor.com/Overview/Working-at-Walmart-EI_IE715.11,18.htm","Bentonville, AR",10000+ Employees,1962,Company - Public (WMT),General Merchandise & Superstores,"What started small, with a single discount store and the simple idea of selling more for less, has grown over the last 50 years into the largest retailer in the world. Each week, approximately 220 million customers and members visit approximately 10,500 stores and clubs under 48 banners in 24 countries and eCommerce websites. With fiscal year 2021 revenue of $559 billion, Walmart employs over 2.3 million associates worldwide. Walmart continues to be a leader in sustainability, corporate philanthropy and employment opportunity. It’s all part of our unwavering commitment to creating opportunities and bringing value to customers and communities around the world.

Working at Walmart

Our people make the difference. That phrase started as a meeting theme in 1979 and has since been our way of thinking. We couldn’t serve our customers without the continued support of our greatest asset: our associates. We’re proud to support them by offering jobs at all levels – and investing in our workforce through training and skills development so that all jobs lead to careers.

At Walmart, we remind ourselves each day that our work isn’t just about what we achieve but how we achieve it. The way we conduct our business is as important as the products we sell and the services we provide. That means complying with the laws of the communities where we do business. But that is not enough. Associates who work at Walmart are expected to operate based on our high standards and values—respect, service, excellence, and integrity.

Acting consistently with these values demands that a culture of integrity guides all our decisions. Our Code of Conduct reflects who we are as a company and how we bring our culture to life in our work every day. It applies to every Walmart associate. We also expect our business partners to embrace our values and meet these high standards. Associates and partners who do not share these values do not belong at Walmart.

Our commitment to integrity is reflected in our actions. From ensuring the food and products we sell are safe; to using technology and data ethically and responsibly; to investigating concerns raised by our customers, associates, and stakeholders. Our commitments are embedded into every action we take.

Integrity builds trust. That’s why our associates, customers, investors, suppliers, and business partners choose Walmart—they know we are a business they can trust.",$10+ billion (USD),http://careers.walmart.com/
426,The Ryland Inn,,,,,,,,,
427,Cranford Plumbing Heating and Cooling,,,,,,,,,
428,"Sun Pharmaceutical Industries, Inc (USA)","https://www.glassdoor.com/Overview/Working-at-Sun-Pharmaceutical-Industries-Inc-EI_IE134504.11,44.htm","Mumbai, NJ",10000+ Employees,1983,Company - Public (SUNPHARMA),Biotech & Pharmaceuticals,"Sun Pharmaceuticals Industries Inc. is the fourth largest generic pharmaceutical company in the world, and rapidly building brand presence. We manufacture, market and distribute pharmaceuticals to the nation’s largest wholesalers, distributors, warehousing and non-warehousing chain drugstores as well as managed care providers. Our goal is to continue to develop and market quality products that bring value to our customers and ultimately the patient. Current manufacturing capabilities allow Sun Pharma to develop products across most therapeutic categories.

At Sun Pharma we believe our people are an invaluable asset. Our culturally diverse workforce is one of our biggest strengths, along with the rich experience they bring across varied skill-sets. We are proud that our global workforce is bound by our common values: Humility. Integrity. Passion. Innovation",$1 to $5 billion (USD),http://www.sunpharma.com/
429,Promotion In Motion Inc,"https://www.glassdoor.com/Overview/Working-at-Promotion-In-Motion-EI_IE380794.11,30.htm","Allendale, NJ",201 to 500 Employees,,Company - Private,Food & Beverage Manufacturing,"Founded in 1979 as Promotion In Motion, Inc. and renamed in 2021 as PIM Brands, Inc. PIM is one of America’s leading makers of popular brand name snacks and confections and one of the 50 largest global candy companies. Millions of times each day, people of all ages, across the world, enjoy our brands at home, at work, at school, and on-the-go. We are passionate about delivering delicious and innovative snacks and treats developed with the highest quality ingredients and standards, offered whenever and wherever consumers want them.",$100 to $500 million (USD),http://www.promotioninmotion.com/
430,Woodmont Properties,"https://www.glassdoor.com/Overview/Working-at-Woodmont-Properties-NJ-EI_IE1765515.11,33.htm","Fairfield, NJ",51 to 200 Employees,1963,Company - Private,Real Estate,"Founded in 1963 by Donald Witmondt, Woodmont Properties has set the standard in real estate development. As a multi-disciplined, vertically integrated real estate company, Woodmont Properties has the internal resources to develop a property from raw land through completion and financial success.

Woodmont is a second-generation family-owned real estate development company that has established a track record of success in real estate development by adhering to a tradition of integrity and placing a high value on long-term relationships. Under Eric Witmondt's leadership, Woodmont has grown to over 185 team members and has become one of the region's most active developers.

Woodmont Properties is led by a dynamic group of highly-skilled executives and an exceptional staff of professional team members, all fully committed to the thorough and effective completion and management of our development and building projects. Woodmont is comprised of specialists in acquisitions, entitlements, engineering, construction, legal, finance, sales, leasing, marketing, and property management.

Our highly-skilled team possesses an unparalleled combination of experience and expertise. Each team member is committed to delivering world-class multifamily, single-family, industrial, office, retail, hospitality, and transit-oriented mixed-use properties in suburban communities and town centers. Our wide-ranging success is derived from a unique blend of innovation, integrity, excellent locations, high-quality design, and, most importantly, our people.

We know that our people are the foundation of the success of our company. We believe that our people share the same values and work ethic, which is why we are one of the region's leading real estate companies. If you're looking to take the next step in your career, join the Woodmont family to be a part of a growing company where every voice is heard.",$5 to $25 million (USD),https://www.woodmontproperties.com/
431,Top Notch Millwork,,,,,,,,,
432,"Singley. Gindele and Rinaldi, LLC",,,,,,,,,
433,"Managed Health Care Associates, Inc.","https://www.glassdoor.com/Overview/Working-at-Managed-Health-Care-Associates-EI_IE326683.11,41.htm","Florham Park, NJ",201 to 500 Employees,1989,Company - Private,Health Care Services & Hospitals,"Managed Health Care Associates, Inc. (MHA) is not only the country’s largest alternate site GPO, but also has established itself as a leading health care services and software company. This evolution reflects our commitment to stay abreast of changes in the alternate site health care market and invest in innovative solutions, software and services for our members including long-term care pharmacies, infusion pharmacies, specialty pharmacies, home medical equipment providers and assisted living and skilled nursing facilities.",Unknown / Non-Applicable,https://www.mhainc.com/home/
434,Feldman Sablosky Massoni & Company,,,,,,,,,
435,Cliffside Labs,,,,,,,,,
436,Valcor Engineering,"https://www.glassdoor.com/Overview/Working-at-Valcor-Engineering-Corporation-EI_IE31094.11,41.htm","Springfield, NJ",201 to 500 Employees,1951,Company - Private,Machinery Manufacturing,"Valcor Engineering is not a dance troupe, but you might say they know something about fluid movement. The company makes fluid-control products with aerospace, scientific and light industrial, and nuclear applications. Valcor's Aerospace division offers 50,000 varieties of solenoid valves, pressure regulators, relief valves, and accumulators. Valcor Scientific has a library of more than 18,000 solenoid-driven fluid control devices, including cryogenic service valves and dispensing/metering pumps. The company offers another 18,000 components, including solenoid valves, check valves, and flow regulators, for nuclear plant applications.",$25 to $100 million (USD),http://www.valcor.com/
437,Therapeutic Self Care,,,,,,,,,
438,Cigna,"https://www.glassdoor.com/Overview/Working-at-Cigna-EI_IE119.11,16.htm","Bloomfield, CT",10000+ Employees,1865,Company - Public (CI),Health Care Services & Hospitals,,$10+ billion (USD),http://www.cigna.com/
439,Studio 5 Partnership,,,,,,,,,
440,Uline,"https://www.glassdoor.com/Overview/Working-at-Uline-EI_IE26828.11,16.htm","Pleasant Prairie, WI",5001 to 10000 Employees,1980,Company - Private,Wholesale,"In 1980, Liz and Dick Uihlein recognized a local need for a shipping supply distributor and started Uline from their basement. Their first product was the H-101 carton sizer (still offered today). From those humble beginnings, the business has grown far beyond their expectations, while still remaining a family-owned and run company.

Uline is now North America's leading distributor of shipping, packaging and industrial supplies with over 1,700 box sizes in stock. Product lines have expanded to include retail, safety, material handling and janitorial items. Uline's 848-page catalog reaches businesses nationwide, offering 40,000 products always in stock for quick delivery.

With over 8,500 employees in North America, Uline has distribution centers near Chicago, IL; Minneapolis, MN; Allentown, PA; Los Angeles, CA; Atlanta, GA; Dallas, TX; Reno, NV and Seattle, WA, as well as international locations near Toronto and Edmonton, Canada and in Mexicali and Monterrey, Mexico.

Uline is a drug-free workplace.",$5 to $10 billion (USD),http://www.uline.com/
441,DrayPoint,"https://www.glassdoor.com/Overview/Working-at-Eastern-Drayage-EI_IE5588333.11,26.htm","Newark, NJ",Unknown,,Company - Public,,,Unknown / Non-Applicable,http://www.easterndrayage.com/
442,Precision Forms Inc.,"https://www.glassdoor.com/Overview/Working-at-Precision-Forms-EI_IE7724944.11,26.htm","Butler, NJ",Unknown,,Company - Public,,,Unknown / Non-Applicable,http://www.precisionformsinc.com/
443,Direct Talent Solutions,,,,,,,,,
444,Eastern Environmental LLC,,,,,,,,,
445,"Sekas Law Group, LLC",,,,,,,,,
446,Automann USA,"https://www.glassdoor.com/Overview/Working-at-Automann-USA-EI_IE277161.11,23.htm","Monroe Township, NJ",1 to 50 Employees,,Company - Private,Taxi & Car Services,"Welcome to Automann, a premier global distributor of aftermarket truck and trailer chassis components. Automann services regional warehouse distributors and repair shops with more than 25,000 products, ranging from air brake & wheel components to steering products - and just about everything in between.",$100 to $500 million (USD),http://www.automann.com/
447,Canteen,,,,,,,,,
448,K9 Resorts Luxury Pet Hotel of Roxbury,,,,,,,,,
449,Rosenberger North America,"https://www.glassdoor.com/Overview/Working-at-Rosenberger-EI_IE932626.11,22.htm","Fridolfing, Germany",10000+ Employees,1958,Company - Private,Electronics Manufacturing,"The Rosenberger group with more than 6200 employees in our headquarters in Germany, manufacturing plants and sales offices in Europe, Asia as well as in North and South America, is engaged in development, manufacture and sales of our products. The Rosenberger group can be found globally with its own local companies and trusted sales partners.

For more than half a century, the name Rosenberger has been associated with the most advanced technology, quality and creativity. Rosenberger is a world-wide leading manufacturer of connector solutions in the high-frequency and fiber optic technology fields. Our customers include renowned high-tech companies in cellular technology and telecommunications, data systems, medical electronics, industrial measurement technology, automotive electronics and electro-mobility fields. The custom machining center enjoys an excellent reputation as a supplier of piece parts for technically challenging devices and systems.",$1 to $5 billion (USD),https://www.rosenberger.com/
450,NOLATO JABAR LLC,,,,,,,,,
