wikidata.id,linkedin.id
http://www.wikidata.org/entity/Q5739088,476
http://www.wikidata.org/entity/Q114487859,1732
http://www.wikidata.org/entity/Q13636126,357
http://www.wikidata.org/entity/Q5881864,1738
http://www.wikidata.org/entity/Q1624735,1875
http://www.wikidata.org/entity/Q9294032,2004
http://www.wikidata.org/entity/Q910866,348
http://www.wikidata.org/entity/Q798819,1339
http://www.wikidata.org/entity/Q37156,944
http://www.wikidata.org/entity/Q202972,2025
http://www.wikidata.org/entity/Q16919728,321
http://www.wikidata.org/entity/Q1666568,1322
http://www.wikidata.org/entity/Q85769855,1452
http://www.wikidata.org/entity/Q5370765,111
http://www.wikidata.org/entity/Q192314,707
http://www.wikidata.org/entity/Q41568532,1012
http://www.wikidata.org/entity/Q15051623,361
http://www.wikidata.org/entity/Q333718,345
http://www.wikidata.org/entity/Q6204078,2312
http://www.wikidata.org/entity/Q18153787,1167
http://www.wikidata.org/entity/Q6322401,1517
http://www.wikidata.org/entity/Q1721601,155
http://www.wikidata.org/entity/Q1538585,218
http://www.wikidata.org/entity/Q3116111,1893
http://www.wikidata.org/entity/Q1740314,544
http://www.wikidata.org/entity/Q6410248,1352
http://www.wikidata.org/entity/Q18343414,95
http://www.wikidata.org/entity/Q6420176,1422
http://www.wikidata.org/entity/Q153417,179
http://www.wikidata.org/entity/Q6451775,1821
http://www.wikidata.org/entity/Q6466630,1083
http://www.wikidata.org/entity/Q16999067,1932
http://www.wikidata.org/entity/Q6483918,1284
http://www.wikidata.org/entity/Q3217105,72
http://www.wikidata.org/entity/Q502132,2010
http://www.wikidata.org/entity/Q6523209,262
http://www.wikidata.org/entity/Q6535711,1976
http://www.wikidata.org/entity/Q127962,1710
http://www.wikidata.org/entity/Q1516450,198
http://www.wikidata.org/entity/Q17031716,1575
http://www.wikidata.org/entity/Q1825775,1092
http://www.wikidata.org/entity/Q30298218,1482
http://www.wikidata.org/entity/Q7240,558
http://www.wikidata.org/entity/Q6681946,227
http://www.wikidata.org/entity/Q30265933,1338
http://www.wikidata.org/entity/Q3272257,1930
http://www.wikidata.org/entity/Q6715207,583
http://www.wikidata.org/entity/Q20047296,883
http://www.wikidata.org/entity/Q458363,1739
http://www.wikidata.org/entity/Q22922899,303
http://www.wikidata.org/entity/Q6798354,1874
http://www.wikidata.org/entity/Q6800562,1325
http://www.wikidata.org/entity/Q6807236,1443
http://www.wikidata.org/entity/Q57405513,60
http://www.wikidata.org/entity/Q18475345,1982
http://www.wikidata.org/entity/Q17081131,2006
http://www.wikidata.org/entity/Q12857502,530
http://www.wikidata.org/entity/Q3323532,496
http://www.wikidata.org/entity/Q334204,301
http://www.wikidata.org/entity/Q724759,1080
http://www.wikidata.org/entity/Q524989,1669
http://www.wikidata.org/entity/Q7013226,552
http://www.wikidata.org/entity/Q5513694,365
http://www.wikidata.org/entity/Q6970655,1033
http://www.wikidata.org/entity/Q45132270,916
http://www.wikidata.org/entity/Q6517792,849
http://www.wikidata.org/entity/Q3339191,587
http://www.wikidata.org/entity/Q30338820,340
http://www.wikidata.org/entity/Q20651008,1685
http://www.wikidata.org/entity/Q7060287,1211
http://www.wikidata.org/entity/Q43379813,1525
http://www.wikidata.org/entity/Q7063988,825
http://www.wikidata.org/entity/Q7071951,1453
http://www.wikidata.org/entity/Q7073021,2061
http://www.wikidata.org/entity/Q161906,1500
http://www.wikidata.org/entity/Q2735242,52
http://www.wikidata.org/entity/Q30284383,906
http://www.wikidata.org/entity/Q19900,471
http://www.wikidata.org/entity/Q1970040,1911
http://www.wikidata.org/entity/Q38928,406
http://www.wikidata.org/entity/Q2045521,172
http://www.wikidata.org/entity/Q7130444,2033
http://www.wikidata.org/entity/Q56276186,125
http://www.wikidata.org/entity/Q7119727,1132
http://www.wikidata.org/entity/Q1975799,504
http://www.wikidata.org/entity/Q7164817,188
http://www.wikidata.org/entity/Q334800,107
http://www.wikidata.org/entity/Q7168146,1831
http://www.wikidata.org/entity/Q944640,1476
http://www.wikidata.org/entity/Q7171798,796
http://www.wikidata.org/entity/Q30610132,1153
http://www.wikidata.org/entity/Q30265954,216
http://www.wikidata.org/entity/Q745700,280
http://www.wikidata.org/entity/Q2114414,857
http://www.wikidata.org/entity/Q440774,1330
http://www.wikidata.org/entity/Q7268886,1924
http://www.wikidata.org/entity/Q7271456,1943
http://www.wikidata.org/entity/Q4672868,616
http://www.wikidata.org/entity/Q62083907,846
http://www.wikidata.org/entity/Q3391111,2116
http://www.wikidata.org/entity/Q7299290,1953
http://www.wikidata.org/entity/Q3552628,1838
http://www.wikidata.org/entity/Q7301554,1512
http://www.wikidata.org/entity/Q485593,1708
http://www.wikidata.org/entity/Q7306694,1640
http://www.wikidata.org/entity/Q917131,609
http://www.wikidata.org/entity/Q99566697,201
http://www.wikidata.org/entity/Q2157448,1895
http://www.wikidata.org/entity/Q7366329,520
http://www.wikidata.org/entity/Q3442791,808
http://www.wikidata.org/entity/Q7368564,322
http://www.wikidata.org/entity/Q7388926,1954
http://www.wikidata.org/entity/Q7598289,168
http://www.wikidata.org/entity/Q114515256,109
http://www.wikidata.org/entity/Q7392916,2059
http://www.wikidata.org/entity/Q1508234,304
http://www.wikidata.org/entity/Q2723882,2250
http://www.wikidata.org/entity/Q105169374,2155
http://www.wikidata.org/entity/Q7413674,2052
http://www.wikidata.org/entity/Q7433236,1818
http://www.wikidata.org/entity/Q7432704,147
